Gewinde,Nenndurchmesser D,Steigung P,Gewindetyp,Reihe,Flankendurchmesser d2 = D2,Kerndurchmesser d3,Spannungsquerschnitt As,Montagezugspannung Schaftschrauben µ1 = 0.08 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ1 = 0.08 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ1 = 0.08 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ1 = 0.08 - 8.8 (660 N/mm²),Montagezugspannung Schaftschrauben µ2 = 0.10 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ2 = 0.10 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ2 = 0.10 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ2 = 0.10 - 8.8 (660 N/mm²),Montagezugspannung Schaftschrauben µ3 = 0.12 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ3 = 0.12 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ3 = 0.12 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ3 = 0.12 - 8.8 (660 N/mm²),Montagezugspannung Schaftschrauben µ4 = 0.14 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ4 = 0.14 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ4 = 0.14 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ4 = 0.14 - 8.8 (660 N/mm²),Montagezugspannung Schaftschrauben µ5 = 0.16 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ5 = 0.16 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ5 = 0.16 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ5 = 0.16 - 8.8 (660 N/mm²),"Vorspannkraft Schaftschrauben F_sp, µ1 = 0.08 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ1 = 0.08 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ1 = 0.08 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ1 = 0.08 - 8.8 (660 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ2 = 0.10 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ2 = 0.10 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ2 = 0.10 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ2 = 0.10 - 8.8 (660 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ3 = 0.12 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ3 = 0.12 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ3 = 0.12 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ3 = 0.12 - 8.8 (660 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ4 = 0.14 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ4 = 0.14 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ4 = 0.14 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ4 = 0.14 - 8.8 (660 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ5 = 0.16 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ5 = 0.16 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ5 = 0.16 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ5 = 0.16 - 8.8 (660 N/mm²)",Montagezugspannung Dehnschrauben µ1 = 0.08 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ1 = 0.08 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ1 = 0.08 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ1 = 0.08 - 8.8 (660) N/mm²,Montagezugspannung Dehnschrauben µ2 = 0.10 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ2 = 0.10 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ2 = 0.10 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ2 = 0.10 - 8.8 (660) N/mm²,Montagezugspannung Dehnschrauben µ3 = 0.12 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ3 = 0.12 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ3 = 0.12 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ3 = 0.12 - 8.8 (660) N/mm²,Montagezugspannung Dehnschrauben µ4 = 0.14 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ4 = 0.14 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ4 = 0.14 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ4 = 0.14 - 8.8 (660) N/mm²,Montagezugspannung Dehnschrauben µ5 = 0.16 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ5 = 0.16 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ5 = 0.16 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ5 = 0.16 - 8.8 (660) N/mm²,"Vorspannkraft Dehnschrauben F_sp, µ1 = 0.08 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ1 = 0.08 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ1 = 0.08 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ1 = 0.08 - 8.8 (660) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ2 = 0.10 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ2 = 0.10 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ2 = 0.10 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ2 = 0.10 - 8.8 (660) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ3 = 0.12 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ3 = 0.12 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ3 = 0.12 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ3 = 0.12 - 8.8 (660) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ4 = 0.14 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ4 = 0.14 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ4 = 0.14 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ4 = 0.14 - 8.8 (660) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ5 = 0.16 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ5 = 0.16 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ5 = 0.16 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ5 = 0.16 - 8.8 (660) N/mm²"
M265.0x2.0,265.0,2.0,Feingewinde,Reihe 4,263.701,262.546,54376.238,821.4,961.2,,576.6750000000001,808.8,946.5,,567.9093750000001,794.2,929.4,,557.6999999999999,778.1,910.5,,546.2531250000001,760.6,890.0,,533.9812499999999,44664641.9,52266440.0,,31357417.059375,43979501.3,51467109.3,,30880775.371875,43185608.2,50537275.6,,30325627.921875,42310150.8,49509564.7,,29703189.965625,41358566.6,48394851.8,,29035891.5,815.7864970856629,954.6437731853501,,572.7862639112101,800.5810834049192,936.85020398448,,562.1101223906879,783.1723609307061,916.4782947061454,,549.8869768236873,764.0459163350541,894.0962850729356,,536.4577710437613,743.6688411362544,870.2507715424254,,522.1504629254551,35773565.256534345,41862682.74700828,,25117609.648204967,35106783.1260334,41082405.78578377,,24649443.47147026,34343382.319953665,40189064.41696706,,24113438.650180236,33504656.60395766,39207576.87697173,,23524546.126183037,32611088.701123122,38161912.30982493,,22897147.385894954
M265.0x4.0,265.0,4.0,Feingewinde,Reihe 4,262.402,260.093,53603.626,820.0,959.6,,575.7468749999999,807.2,944.6,,566.775,792.4,927.3,,556.359375,776.0,908.1,,544.8093749999999,758.4,887.4,,532.4343749999999,43954973.3,51438039.5,,30862120.1625,43268846.9,50633985.1,,30381195.075,42475513.2,49706642.4,,29822879.83125,41596413.8,48677452.8,,29203757.9625,40652990.0,47567857.7,,28540413.103125,814.0327637370735,952.5915320327456,,571.5549192196473,798.4527869411337,934.359644292816,,560.6157865756896,780.7129897734881,913.6003071817413,,548.1601843090448,761.3045129696628,890.888259858116,,534.5329559148696,740.6963278347572,866.772298530035,,520.063379118021,35032740.59017259,40995760.26509558,,24597456.159057345,34362240.20025295,40211132.14923217,,24126679.289539304,33598789.71032016,39317732.63973636,,23590639.583841816,32763525.86909914,38340296.229796864,,23004177.737878118,31876631.34098333,37302440.93093794,,22381464.558562763
M268.0x4.0,268.0,4.0,Feingewinde,Reihe 4,265.402,263.093,54841.794,820.1,959.7,,575.85,807.2,944.6,,566.775,792.4,927.3,,556.359375,776.0,908.1,,544.9125,758.4,887.5,,532.5375,44975755.3,52631669.7,,31580647.10625,44268296.1,51803558.6,,31082957.8125,43456637.6,50854795.6,,30511746.271875,42557232.1,49801833.1,,29883979.021875,41592016.6,48672092.2,,29205311.85,814.072842071849,952.6384322117382,,571.583059327043,798.5012742740058,934.4163847887302,,560.6498308732381,780.7688908790681,913.6657233691222,,548.1994340214734,761.3667121845243,890.9610461733795,,534.5766277040277,740.763671799865,866.8511052977144,,520.1106631786287,35847324.996307895,41948997.33610499,,25169398.401662994,35161638.1354974,41146597.818135254,,24687958.69088115,34380800.7488826,40232851.94018176,,24139711.164109062,33526434.69052149,39233061.87188685,,23539837.12313211,32619189.23727524,38171391.66064124,,22902834.996384744
M268.0x2.0,268.0,2.0,Feingewinde,Reihe 4,266.701,265.546,55623.247,821.4,961.2,,576.6750000000001,808.8,946.5,,567.9093750000001,794.3,929.5,,557.6999999999999,778.1,910.5,,546.3562499999999,760.6,890.1,,534.084375,45688935.1,53465065.0,,32076535.940625,44988082.2,52647403.3,,31588963.415625,44181545.1,51701808.1,,31021084.875,43280448.5,50644966.4,,30390108.684375,42307041.7,49510252.2,,29707507.0875,815.8057147489546,954.666261940266,,572.7997571641596,800.6044831977727,936.8775867207978,,562.1265520324787,783.199467280994,916.5100149032909,,549.9060089419745,764.0761894337521,894.1317110394972,,536.4790266236984,743.7017178198975,870.2892442573268,,522.1735465543961,36596636.40754418,42825851.11521128,,25695510.669126764,35914716.76176591,42027860.04036437,,25216716.02421862,35133936.451382965,41114180.95374603,,24668508.572247617,34276075.77004254,40110301.433028504,,24066180.859817103,33362087.16201039,39040740.295969605,,23424444.177581765
M268.0x1.5,268.0,1.5,Feingewinde,Reihe 4,267.026,266.16,55819.683,821.7,961.6,,576.984375,809.2,946.9,,568.21875,794.7,930.0,,558.009375,778.6,911.1,,546.665625,761.2,890.7,,534.3937500000001,45867033.5,53676207.2,,32207084.86875,45169287.5,52855657.8,,31717790.465625,44359902.1,51912305.2,,31147906.453125,43461205.2,50857313.2,,30514701.9375,42489942.7,49718591.6,,29829689.690625,816.2278411253695,955.1602396147941,,573.0961437688765,801.1189196941652,937.4795868761508,,562.4877521256905,783.7957760848169,917.2078230779772,,550.3246938467863,764.7425018635962,894.9114383510168,,536.9468630106102,744.425635812392,871.1363823336502,,522.6818294001902,36785094.85177058,43046387.59249749,,25827832.555498492,36104178.22536818,42249570.26372872,,25349742.158237234,35323472.82830388,41335978.841632195,,24801587.304979317,34464795.306966126,40331143.44432206,,24198686.066593237,33549171.25308204,39259668.487649195,,23555801.09258952
M268.0x3.0,268.0,3.0,Feingewinde,Reihe 4,266.051,264.319,55231.621,820.7,960.4,,576.2624999999999,808.0,945.6,,567.290625,793.4,928.4,,557.0812500000001,777.1,909.3,,545.634375,759.5,888.8,,533.259375,45328591.4,53044448.8,,31827911.98125,44627149.8,52227020.8,,31332380.784375,43820768.1,51277036.9,,30768500.503125,42920492.7,50222113.0,,30136271.034375,41948416.1,49089864.7,,29452779.675,814.9483032621707,953.662908072753,,572.1977448436518,799.5621544636731,935.6578403298303,,561.3947041978981,781.9934643213932,915.0987348441835,,549.0592409065101,762.730547972807,892.5570242234976,,535.5342145340985,742.2414554895786,868.5804266367409,,521.1482559820446,36221107.505299546,42386402.39981862,,25431841.43989117,35537256.33646825,41586151.03203731,,24951690.619222388,34756400.16212746,40672383.168447025,,24403429.901068214,33900242.58607656,39670496.64328108,,23802297.985968646,32989586.513108097,38604835.28129671,,23162901.16877803
M270.0x2.0,270.0,2.0,Feingewinde,Reihe 3,268.701,267.546,56462.44,821.4,961.2,,576.7781249999999,808.8,946.5,,567.9093750000001,794.3,929.5,,557.6999999999999,778.1,910.5,,546.3562499999999,760.6,890.1,,534.084375,46378248.2,54271697.3,,32566300.284375,45666821.5,53441699.5,,32065549.003125,44848116.1,52481838.0,,31489102.8375,43933424.6,51409051.6,,30848606.971875,42945331.9,50257217.8,,30155707.003125,815.8182843348708,954.6809710301679,,572.8085826181008,800.6197890909651,936.8954978724059,,562.1372987234436,783.217198437703,916.5307641292269,,549.9184584775362,764.0959927552478,894.1548851391199,,536.492931083472,743.723224899483,870.3144121164162,,522.1886472698498,37150551.01372505,43474049.058614425,,26084429.435168654,36458445.328264825,42664138.15009713,,25598482.89005828,35665970.03781202,41736773.44850342,,25042064.069102053,34795232.83960232,40717825.663364425,,24430695.39801866,33867502.28238218,39632183.521936595,,23779310.11316196
M270.0x1.5,270.0,1.5,Feingewinde,Reihe 3,269.026,268.16,56660.351,821.7,961.6,,576.984375,809.2,947.0,,568.21875,794.7,930.0,,558.009375,778.6,911.1,,546.665625,761.2,890.7,,534.3937500000001,46557810.4,54484593.5,,32692137.225,45849556.0,53657352.4,,32195473.81875,45027980.9,52694126.4,,31617007.021875,44115749.3,51623245.8,,30974266.228125,43129859.2,50467374.6,,30278937.459375,816.2371698480171,955.1711562051263,,573.1026937230757,801.1302974680548,937.4929012924046,,562.4957407754428,783.8089722637282,917.223265415001,,550.3339592490006,764.7572538072461,894.9287012637986,,536.9572207582792,744.4416688791484,871.1551444330461,,522.6930866598276,37340425.45366569,43696242.55216197,,26217745.53129718,36649330.92528608,42887514.912568815,,25732508.94754129,35856931.75940236,41960239.292917654,,25176143.57575059,34985372.24328652,40940329.22086721,,24564197.532520324,34055994.59108221,39852759.627862155,,23911655.776717294
M270.0x4.0,270.0,4.0,Feingewinde,Reihe 3,267.402,265.093,55675.094,820.1,959.7,,575.85,807.3,944.7,,566.775,792.5,927.3,,556.359375,776.1,908.2,,544.9125,758.4,887.5,,532.5375,45659144.6,53431387.7,,32060502.890625,44946503.4,52596261.3,,31555251.440625,44122512.0,51627514.7,,30975360.4875,43209440.5,50564120.4,,30338054.690625,42223991.3,49411645.9,,29649075.328125,814.0990458033885,952.6690961529015,,571.6014576917408,798.5329796616895,934.4534868381472,,560.6720921028883,780.8054472661609,913.7085021199755,,548.2251012719853,761.4073900085614,891.008647882359,,534.6051887294154,740.8077167216535,866.9026472274668,,520.1415883364801,36395581.778845906,42590574.422053725,,25554344.65323223,35699676.242344454,41776216.87933925,,25065730.12760355,34907138.94806242,40848779.62007304,,24509267.772043828,34039918.20519447,39833946.83586588,,23900368.101519525,33118977.322637256,38756250.058405295,,23253750.03504318
M270.0x6.0,270.0,6.0,Feingewinde,Reihe 3,266.103,262.639,54893.069,818.7,958.1,,574.81875,805.6,942.8,,565.640625,790.6,925.2,,555.1218749999999,774.0,905.7,,543.46875,756.2,884.9,,530.990625,44940955.6,52593049.4,,31553565.346875,44221856.4,51753185.5,,31049749.809375,43398460.4,50787067.4,,30472343.34375,42487235.4,49716652.6,,29832667.63125,41510138.8,48574876.8,,29147704.9875,812.307302129817,950.5723748327646,,570.3434248996588,796.371686916037,931.9243144762136,,559.1545886857281,778.3191452856233,910.7989998023252,,546.4793998813951,758.6457281569996,887.7769159284037,,532.6661495570422,737.8218084376327,863.4084992355276,,518.0450995413166,35646236.96469458,41713681.55442983,,25028208.9326579,34946939.15634149,40895354.33188898,,24537212.599133387,34154744.90290377,39968318.50339803,,23980991.10203882,33291422.257602558,38958047.3227264,,23374828.39363584,32377612.453229167,37888695.423991576,,22733217.25439495
M270.0x8.0,270.0,8.0,Feingewinde,Reihe 3,264.804,260.185,54116.574,817.3,956.5,,573.890625,803.9,940.8,,564.50625,788.7,922.9,,553.78125,771.9,903.3,,541.921875,753.9,882.2,,529.3406249999999,44229475.9,51762503.0,,31056994.44375,43504313.8,50912872.8,,30549144.24375,42681741.9,49944186.1,,29968743.95625,41772583.5,48883501.3,,29326955.2125,40798485.1,47741641.6,,28646101.06875,810.4409995233453,948.3884036975318,,569.0330422185191,794.1341936176844,929.3059712547371,,557.5835827528423,775.7569447319233,907.8006800054422,,544.6804080032654,755.8100317426259,884.4585477839239,,530.6751286703544,734.7648775750063,859.831239715433,,515.8987438292597,34902843.85563655,40843753.44808533,,24506252.0688512,34200567.06973333,40021940.18798581,,24013164.112791486,33409123.58558934,39095782.91930668,,23457469.75158401,32550080.188381054,38090519.36938208,,22854311.621629253,31643739.405693308,37029907.81517302,,22217944.689103812
M270.0x3.0,270.0,3.0,Feingewinde,Reihe 3,268.051,266.319,56067.866,820.8,960.5,,576.2624999999999,808.0,945.6,,567.3937500000001,793.4,928.4,,557.0812500000001,777.1,909.4,,545.634375,759.5,888.8,,533.259375,46020504.4,53853185.3,,32309808.609375,45302835.7,53017774.1,,31812556.771875,44484244.9,52053406.8,,31234356.8625,43570338.7,50988117.3,,30592555.021875,42583544.2,49833119.3,,29898715.171875,814.9675536138506,953.6854350800379,,572.2112610480227,799.5855204047419,935.6851834523576,,561.4111100714146,782.0204686035058,915.1303355998473,,549.0782013599083,762.7606521872145,892.5922525595064,,535.5553515357038,742.2741004343826,868.6186281678945,,521.1711769007367,36772192.21276347,43031288.75961684,,25818773.2557701,36078138.7142159,42219098.49535903,,25331459.097215418,35285585.12334221,41291642.16561323,,24774985.299367934,34416561.97254083,40274700.18063289,,24164820.108379733,33492187.23456346,39192985.061723195,,23515791.037033916
M272.0x2.0,272.0,2.0,Feingewinde,Reihe 4,270.701,269.546,57307.916,821.4,961.2,,576.7781249999999,808.8,946.5,,567.9093750000001,794.3,929.5,,557.6999999999999,778.1,910.5,,546.3562499999999,760.6,890.1,,534.084375,47072722.2,55084368.9,,33053952.31875,46350642.5,54241942.5,,32545702.715625,45519677.7,53267707.9,,31960624.78125,44591289.4,52178857.5,,31310538.084375,43588400.9,51009776.0,,30607262.503125,815.8306652572437,954.695459343583,,572.8172756061498,800.634865966296,936.913141024389,,562.1478846146334,783.2346648993415,916.5512036056125,,549.9307221633675,764.1155009819183,894.1777139150108,,536.5066283490065,743.7444119664381,870.3392054926402,,522.2035232955841,37708626.02429409,44127115.56034415,,26476269.33620649,37006258.80888439,43305196.47848173,,25983117.88708904,36202001.62326558,42364044.4527576,,25418426.671654556,35318292.009540826,41329916.18137756,,24797949.70882654,34376716.98655473,40228073.06937255,,24136843.84162353
M272.0x1.5,272.0,1.5,Feingewinde,Reihe 4,271.026,270.16,57507.302,821.7,961.6,,576.984375,809.2,947.0,,568.21875,794.7,930.0,,558.009375,778.6,911.1,,546.665625,761.2,890.7,,534.4968749999999,47253750.1,55299021.6,,33180814.734375,46534908.8,54459415.0,,32676727.25625,45701052.9,53481790.9,,32089613.634375,44775185.3,52394902.9,,31437265.2,43774558.3,51221753.9,,30737473.18125,816.2463592538274,955.1819097651172,,573.1091458590703,801.141505726052,937.506017338997,,562.5036104033982,783.8219721772057,917.2384780797087,,550.3430868478252,764.7717866459321,894.9457077771546,,536.9674246662927,744.4574640764484,871.1736281745673,,522.7041769047404,37899916.45955915,44350966.06969688,,26610579.641818125,37198568.538865335,43530239.77952327,,26118143.867713958,36394388.68902213,42589178.253111,,25553506.951866604,35509851.279465556,41554081.28448096,,24932448.770688575,34566617.51237129,40450297.08894512,,24270178.25336707
M272.0x4.0,272.0,4.0,Feingewinde,Reihe 4,269.402,267.093,56514.677,820.1,959.7,,575.85,807.3,944.7,,566.775,792.5,927.4,,556.4625,776.1,908.2,,544.9125,758.5,887.6,,532.5375,46347686.6,54237135.5,,32543976.7125,45624298.7,53389415.4,,32031106.078125,44787881.5,52411711.4,,31448298.440625,43861040.8,51326629.7,,30795553.903125,42866382.5,50162427.3,,30096184.8,814.1248484391963,952.699290726719,,571.6195744360314,798.5642026377133,934.4900243632816,,560.694014617969,780.8414499119277,913.7506328756601,,548.2503797253961,761.447453830514,891.055531078261,,534.6333186469566,740.8510987275151,866.953413404539,,520.1720480427234,36947998.97065844,43237020.07204711,,25942212.043228265,36241799.2690301,42410616.1658863,,25446369.69953178,35437475.152495705,41469385.816750295,,24881631.490050178,34557303.826652005,40439398.0950183,,24263638.85701098,33622564.998075694,39345554.7849822,,23607332.87098932
M272.0x3.0,272.0,3.0,Feingewinde,Reihe 4,270.051,268.319,56910.394,820.8,960.5,,576.2624999999999,808.1,945.6,,567.3937500000001,793.4,928.4,,557.0812500000001,777.1,909.4,,545.634375,759.6,888.8,,533.259375,46712051.4,54662433.4,,32795325.95625,45989289.4,53814468.6,,32290601.8875,45152706.6,52835609.8,,31703713.3875,44225067.2,51754312.3,,31052267.296875,43229135.3,50581958.2,,30348001.096875,814.9865121500176,953.7076206010844,,572.2245723606507,799.6085337627067,935.7121139776355,,561.4272683865813,782.0470667866259,915.1614611332857,,549.0968766799714,762.7903048956344,892.6269525374445,,535.5761715224667,742.3062568333916,868.656257996522,,521.1937547979132,37327437.32624777,43681043.67965164,,26208626.207790982,36623106.00800003,42856826.179574504,,25714095.707744706,35818768.08567383,41915579.6747247,,25149347.804834817,34936783.461540386,40883470.00818556,,24530082.004911333,33998587.54193666,39785581.16609609,,23871348.699657656
M275.0x3.0,275.0,3.0,Feingewinde,Reihe 4,273.051,271.319,58185.967,820.8,960.5,,576.2624999999999,808.1,945.6,,567.3937500000001,793.4,928.5,,557.0812500000001,777.1,909.4,,545.634375,759.6,888.9,,533.3625000000001,47759041.7,55887621.3,,33530390.85,47020079.9,55020650.4,,33014353.96875,46164746.2,54025670.4,,32414311.25625,45216315.0,52914318.4,,31748263.696875,44198060.5,51721506.1,,31034212.790625,815.0144171457773,953.7402753833564,,572.2441652300139,799.6424099631014,935.7517563397995,,561.4510538038796,782.0862224364344,915.2072815745508,,549.1243689447305,762.8339593531997,892.6780375409784,,535.6068225245871,742.3535991290402,868.7116585552598,,521.2269951331559,38168105.757650495,44664804.61001654,,26798882.766009923,37448216.16611362,43822380.619920194,,26293428.371952113,36626038.781122506,42860258.14812208,,25716154.888873246,35724432.137146324,41805186.5434691,,25083111.926081464,34765312.226448245,40682812.179886244,,24409687.30793175
M275.0x4.0,275.0,4.0,Feingewinde,Reihe 4,272.402,270.093,57785.832,820.1,959.7,,575.85,807.3,944.7,,566.8781250000001,792.5,927.4,,556.4625,776.1,908.3,,544.9125,758.5,887.6,,532.5375,47390160.8,55457063.0,,33275971.36875,46650502.2,54590275.5,,32757524.146875,45795271.9,53590580.6,,32155648.490625,44847584.2,52486871.2,,31488222.15,43830553.6,51290704.5,,30773122.4625,814.1628202400536,952.7437258128286,,571.6462354876973,798.6101563802907,934.5438000194893,,560.7262800116936,780.8944428182369,913.8126458511284,,548.287587510677,761.5064283700605,891.1245438373047,,534.6747263023829,740.9149611339225,867.0281460077815,,520.216887604669,37784425.5254955,44215817.10430324,,26529490.26258195,37062643.03343941,43371178.01785464,,26022706.810712785,36240475.7186521,42409067.33033757,,25445440.39820254,35340698.70870665,41356136.786784366,,24813682.07207062,34385070.742282026,40237848.740968324,,24142709.244580995
M275.0x6.0,275.0,6.0,Feingewinde,Reihe 4,271.103,267.639,56989.069,818.8,958.2,,574.921875,805.7,942.9,,565.74375,790.7,925.3,,555.1218749999999,774.1,905.9,,543.571875,756.3,885.1,,530.990625,46662649.7,54606925.9,,32764262.4375,45916092.9,53734993.2,,32241209.653125,45061256.9,52731985.5,,31635878.79375,44115238.3,51626397.6,,30977655.121875,43100832.9,50441025.0,,30260661.3375,812.4069309670053,950.6889617699,,570.41337706194,796.4915156479592,932.0645395880374,,559.2387237528225,778.456694461576,910.9599616039719,,546.5759769623832,758.7982493344743,887.9553981573636,,532.7732388944181,737.9864839121864,863.6012045780905,,518.1607227468543,37020929.38157895,43322364.16993282,,25993418.501959693,36295672.808615476,42473659.66965641,,25484195.801793847,35473836.0958787,41511935.85687933,,24907161.514127597,34578011.74842291,40463630.76943107,,24278178.461658638,33629631.24028591,39353823.79182394,,23612294.275094364
M275.0x1.5,275.0,1.5,Feingewinde,Reihe 4,274.026,273.16,58789.511,821.7,961.6,,576.984375,809.2,947.0,,568.21875,794.7,930.0,,558.009375,778.6,911.1,,546.665625,761.2,890.8,,534.4968749999999,48307341.2,56531993.8,,33920629.25625,47572472.3,55673666.9,,33405302.49375,46720024.4,54674245.2,,32805098.2875,45773513.3,53563123.5,,32138204.79375,44750575.8,52369696.4,,31422809.9625,816.2598888939968,955.1977423227623,,573.1186453936574,801.1580084656309,937.5253290555255,,562.5151974333153,783.8411135216039,917.2608775252811,,550.3565265151686,764.7931856421467,894.9707491557035,,536.9824494934221,744.4807223190893,871.2008452670194,,522.7205071602116,38746953.72588276,45342179.891990475,,27205307.935194284,38030084.17233338,44503289.988900766,,26701973.993340455,37208070.33066178,43541358.89758293,,26124815.33854976,36303886.27095096,42483271.16813409,,25489962.700880457,35339676.112953834,41354940.13218001,,24812964.079308007
M275.0x2.0,275.0,2.0,Feingewinde,Reihe 4,273.701,272.546,58587.912,821.4,961.2,,576.7781249999999,808.9,946.5,,567.9093750000001,794.3,929.5,,557.6999999999999,778.1,910.6,,546.3562499999999,760.7,890.1,,534.084375,48124110.9,56314701.0,,33792226.05,47391762.0,55453458.7,,33272624.446875,46536378.5,54457464.2,,32674478.5125,45587254.3,53350152.7,,32009871.91875,44567824.7,52149100.5,,31290888.3375,815.8488920830738,954.7167886078522,,572.8300731647114,800.6570629884445,936.9391162630734,,562.163469757844,783.2603811093006,916.5812970427986,,549.9487782256791,764.1442242871159,894.2113262934334,,536.5267957760601,743.7756079937493,870.3757114820471,,522.2254268892283,38553539.298343174,45115843.85976329,,27069506.315857973,37835638.24375197,44275746.880986355,,26565448.12859181,37013545.249575235,43313723.164396554,,25988233.898637928,36110197.20261564,42256613.74774171,,25353968.248645026,35147663.26239768,41130244.24323133,,24678146.545938797
M278.0x3.0,278.0,3.0,Feingewinde,Reihe 4,276.051,274.319,59475.677,820.8,960.5,,576.365625,808.1,945.7,,567.3937500000001,793.5,928.5,,557.0812500000001,777.2,909.5,,545.634375,759.6,888.9,,533.3625000000001,48817635.7,57126387.8,,34279735.771875,48062294.6,56246147.7,,33746127.421875,47193949.7,55223166.1,,33132784.471875,46224496.2,54093128.2,,32451973.846875,45177724.2,52867929.3,,31722095.728125,815.0417017169057,953.7722041368045,,572.2633224820827,799.6755363535402,935.7905212647811,,561.4743127588687,782.1245143069458,915.2520912102558,,549.1512547261534,762.8766533087045,892.7279985527393,,535.6367991316436,742.3999020021802,868.7658427685087,,521.2595056611052,39018135.10231705,45659519.80058379,,27395711.88035027,38282517.38497897,44798690.55689028,,26879214.33413417,37442304.97872393,43815463.27297481,,26289277.963784885,36520860.54308589,42737177.23127072,,25642306.338762432,35540585.978911474,41590047.42213045,,24954028.45327827
